title,release_date,genres
Saints Row: The Third - Gangstas in Space,2012-02-21,['Action']
Pickers,2012-02-22,"['Adventure', 'Casual']"
1000 Amps,2012-02-22,"['Adventure', 'Indie']"
Assassin's Creed® Revelations - The Lost Archive,2012-02-28,"['Action', 'Adventure']"
Rayman® Origins,2012-03-29,"['Action', 'Adventure']"
Painkiller: Recurring Evil,2012-02-29,['Action']
Spiral Knights: Operation Crimson Hammer,2012-02-29,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Train Simulator: DB Freight: 1970s Loco Add-On,2012-03-01,['Simulation']
Cities In Motion: Design Dreams,2012-02-29,['Simulation']
Vessel,2012-03-01,"['Action', 'Indie', 'Strategy']"
iBomber Defense Pacific,2012-03-01,"['Casual', 'Indie', 'Strategy']"
Luxor Evolved,2012-03-01,"['Action', 'Indie', 'Casual']"
Alan Wake Collector's Edition Extras,2012-03-02,"['Action', 'Adventure']"
The Sims™ 3 Showtime,2012-03-06,['Simulation']
Stacking,2012-03-06,"['Adventure', 'Indie']"
Containment: The Zombie Puzzler,2012-03-02,"['Casual', 'Indie']"
Train Simulator: Cologne-Dusseldorf Route Add-On,2012-03-08,['Simulation']
Train Simulator: South West Trains Class 444 EMU Add-On,2012-03-08,['Simulation']
Wizorb,2012-03-14,"['Action', 'Adventure', 'Indie']"
Defenders of Ardania,2012-03-14,['Strategy']
Jane's Advanced Strike Fighters,2012-03-08,['Simulation']
Bumbledore,2012-03-15,"['Casual', 'Indie', 'Strategy']"
Dungeon Defenders - President's Day Surprise,2012-03-15,"['Action', 'RPG', 'Indie']"
ToeJam &amp; Earl in Panic on Funkotron,2012-03-14,nan
Dungeon Defenders - Quest for the Lost Eternia Shards Part 2,2012-03-15,"['Strategy', 'RPG', 'Indie']"
Cubemen,2012-03-16,"['Indie', 'Strategy']"
Myst V,2012-03-16,"['Adventure', 'Casual']"
Dungeon Defenders Lucky Costume Pack,2012-03-16,"['Strategy', 'RPG', 'Indie']"
Space Ark,2012-03-16,"['Action', 'Indie', 'Casual']"
Ys: The Oath in Felghana,2012-03-19,"['Action', 'Adventure', 'RPG']"
Take On Helicopters: Hinds,2012-03-20,['Simulation']
Waveform,2012-03-20,"['Adventure', 'Indie', 'Strategy']"
Saints Row: The Third - The Trouble with Clones DLC,2012-03-20,['Action']
Mutant Storm: Reloaded,2012-03-21,"['Action', 'Indie']"
Warp,2012-03-21,"['Action', 'Adventure', 'Indie']"
Kingdoms of Amalur: Reckoning - Legend of Dead Kel,2012-03-20,"['Action', 'RPG']"
Total War: Shogun 2 - Fall of the Samurai,2012-03-22,['Strategy']
Yesterday,2012-03-22,['Adventure']
Fowl Space,2012-03-21,"['Action', 'Indie']"
Crazy Machines Elements DLC - Collision Course &amp; Mental Activity,2012-03-23,"['Casual', 'Strategy']"
Midnight Mysteries 3: Devil on the Mississippi,2012-03-28,"['Adventure', 'Casual']"
Midnight Mysteries 4: Haunted Houdini,2012-03-28,"['Adventure', 'Casual']"
Tropico 4: Modern Times,2012-03-29,"['Simulation', 'Strategy']"
3SwitcheD,2012-03-29,"['Casual', 'Indie']"
Train Simulator: Freightliner Class 70 Loco Add-On,2012-03-29,['Simulation']
Dungeon Defenders: Series EV Hero DLC,2012-03-29,"['Strategy', 'RPG', 'Indie']"
Ridge Racer™ Unbounded,2012-03-29,['Racing']
Hegemony Gold: Wars of Ancient Greece,2012-03-30,"['Indie', 'Strategy']"
Confrontation,2012-04-04,"['Action', 'RPG', 'Strategy']"
Train Simulator: Settle to Carlisle Route Add-on,2012-04-05,['Simulation']
"Hack, Slash, Loot",2012-04-05,"['Casual', 'Indie', 'RPG']"
Dungeon Defenders: Penny Arcade Character Pack,2012-04-05,"['Strategy', 'RPG', 'Indie']"
The White Laboratory Demo,2012-04-06,['Indie']
Atooms to Moolecules Demo,2012-04-06,"['Indie', 'Casual']"
Imagine Earth,2014-05-20,"['Indie', 'Simulation', 'Strategy', 'Early Access']"
Scary Girl,2012-04-09,['Action']
Airline Tycoon 2: Honey Airlines DLC,2012-04-19,"['Strategy', 'Simulation']"
Risen 2: Dark Waters,2012-04-26,['RPG']
Dungeon Defenders: Quest for the Lost Eternia Shards Part 3,2012-04-26,"['Action', 'Strategy', 'RPG', 'Indie']"
Risen 2: Dark Waters - A Pirate's Clothes DLC,2012-04-27,nan
Risen 2: Dark Waters - Treasure Isle DLC,2012-04-27,"['Action', 'Adventure']"
Binary Domain,2012-04-27,['Action']
Analogue: A Hate Story,2012-04-27,['Indie']
Toy Soldiers,2012-04-27,"['Action', 'Casual', 'Simulation', 'Strategy']"
Analogue: A Hate Story Soundtrack,2012-04-30,nan
Total War: SHOGUN 2 - Dragon War Battle Pack,2012-05-01,['Strategy']
Saints Row: The Third - Steelport Gangs Pack,2012-05-01,['Action']
Phantasy Star III: Generations of Doom,2012-05-02,nan
Phantasy Star II,2012-05-02,nan
The Revenge of Shinobi,2012-05-02,nan
Streets of Rage 3,2012-05-02,['Action']
Phantasy Star IV: The End of the Millennium,2012-05-02,nan
VectorMan 2,2012-05-02,nan
Sanctum: Yogscave (Free DLC),2012-05-03,"['Action', 'Strategy', 'Indie', 'Casual']"
Train Simulator: Settle Carlisle Specials Add-On,2012-05-03,['Simulation']
Ticket to Ride - USA 1910,2012-05-24,"['Casual', 'Indie', 'Strategy']"
Wonder Boy in Monster World,2012-05-02,nan
Cities in Motion: Paris,2012-05-15,['Simulation']
Jagged Alliance - Back in Action: Shades of Red DLC,2012-05-15,"['RPG', 'Simulation', 'Strategy']"
Serious Sam HD: The Second Encounter,2010-04-28,"['Action', 'Indie']"
Serious Sam HD: The Second Encounter - Legend of the Beast DLC,2012-05-15,"['Action', 'Indie']"
Nancy Drew®: Tomb of the Lost Queen,2012-05-16,['Adventure']
Dead Hungry Diner,2012-05-16,"['Casual', 'Indie']"
Train Simulator: BR Class 423 ‘4VEP’ EMU Add-On,2012-05-17,['Simulation']
Train Simulator: Portsmouth Direct Line Route Add-On,2012-05-17,['Simulation']
Resident Evil: Operation Raccoon City,2012-05-18,['Action']
Alien Shooter 2 Conscription,2012-05-18,"['Action', 'Indie', 'RPG']"
Gratuitous Tank Battles,2012-05-17,"['Indie', 'Simulation', 'Strategy']"
Farming Simulator Farming Classics Pack 4,2012-05-18,['Simulation']
Ticket to Ride - Europe,2012-05-24,"['Casual', 'Indie', 'Strategy']"
Ticket to Ride,2012-05-24,"['Casual', 'Indie', 'Strategy']"
Train Simulator: DB BR143 Loco Add-On,2012-05-24,['Simulation']
Train Simulator: Class 67 Diamond Jubilee Loco Add-On,2012-05-31,['Simulation']
Ys Origin,2012-05-31,"['Action', 'Adventure', 'RPG']"
Dungeon Defenders: Talay Mining Complex Mission Pack,2012-05-31,"['Strategy', 'RPG', 'Indie']"
Max Payne 3 Rockstar Pass,2012-05-31,['Action']
Max Payne 3,2012-05-31,['Action']
Binary Domain - Multiplayer Map Pack,2012-06-01,['Action']
Binary Domain - Dan Marshall Pack,2012-06-01,['Action']
Waveform: Eris,2012-06-04,"['Action', 'Indie']"
Dungeons of Dredmor: You Have To Name The Expansion Pack,2012-06-05,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG']"
The Lord of the Rings Online™,2012-06-06,"['Free to Play', 'Massively Multiplayer', 'RPG']"
Splice,2012-06-13,"['Indie', 'Casual']"
Indie Game: The Movie,2012-06-12,['Indie']
Krater,2012-06-12,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
LEGO® Batman 2 DC Super Heroes™,2012-06-22,"['Action', 'Adventure']"
Quantum Conundrum: The Desmond Debacle,2012-06-21,"['Casual', 'Strategy']"
Vindictus,2012-06-22,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Sniper Elite V2 - Kill Hitler + 2 Rifles,2012-06-06,['Action']
Call of Duty®: Modern Warfare® 3 Collection 2,2012-06-21,['Action']
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,2012-06-25,"['Indie', 'RPG']"
The Dark Eye: Chains of Satinav,2012-06-22,"['Adventure', 'Indie']"
Dungeons &amp; Dragons Online® Menace of the Underdark™,2012-06-25,"['Massively Multiplayer', 'RPG']"
Dungeons &amp; Dragons Online®,2012-06-25,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Tom Clancy's Ghost Recon: Future Soldier™,2012-06-26,['Action']
Crusader Kings II: Songs of the Caliph,2012-06-26,['Strategy']
Expansion - Crusader Kings II: Sword of Islam,2012-06-26,['Strategy']
Quantum Conundrum,2012-06-21,"['Casual', 'Strategy']"
Tribes: Ascend,2012-06-27,"['Action', 'Free to Play']"
Killing Floor - Harold Lott Character Pack,2012-07-05,['Action']
Divine Divinity,2002-09-20,['RPG']
Crusader Kings II: African Unit Pack,2012-06-26,['Strategy']
Xotic DLC: Warp Field Expansion Pack,2012-07-06,"['Action', 'Indie']"
Foreign Legion: Multi Massacre,2012-07-09,"['Action', 'Indie', 'Casual']"
Dungeon Defenders  - Quest for the Lost Eternia Shards Part 4,2012-07-10,"['RPG', 'Indie']"
Source Filmmaker,2012-07-10,"['Animation &amp; Modeling', 'Video Production']"
Magic 2013 “Goblin Gangland” Deck Key,2012-07-11,['Strategy']
Magic 2013 “Pack Instinct” Deck Key,2012-07-11,['Strategy']
Street Fighter X Tekken: Hugo (Swap Costume),2012-07-20,['Action']
Magic 2013 “Obedient Dead” Foil Conversion,2012-07-11,['Strategy']
Magic 2013 “Goblin Gangland” Foil Conversion,2012-07-11,['Strategy']
Hard Reset: Exile DLC,2012-07-11,['Action']
Spiral Knights: Guardians Armor Pack,2012-07-12,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Street Fighter X Tekken: Law (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: King (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: Julia (Swap Costume),2012-07-24,['Action']
Street Fighter X Tekken: Paul (Swap Costume),2012-07-20,['Action']
Might &amp; Magic: Heroes VI - Pirates of the Savage Sea Adventure Pack,2012-07-12,"['RPG', 'Strategy']"
Street Fighter X Tekken: Ibuki (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: Rolento (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: Sagat (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: Dhalsim (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: Abel (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: Lili (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: Zangief (Swap Costume),2012-07-20,['Action']
Street Fighter X Tekken: Raven (Swap Costume),2012-07-24,['Action']
Street Fighter X Tekken: Yoshimitsu (Swap Costume),2012-07-24,['Action']
Street Fighter X Tekken: Jin (Swap Costume),2012-07-24,['Action']
Street Fighter X Tekken: Ogre (Swap Costume),2012-07-24,['Action']
Street Fighter X Tekken: Xiaoyu (Swap Costume),2012-07-24,['Action']
Street Fighter X Tekken: Tekken Swap Costume Complete Pack,2012-07-24,['Action']
Street Fighter X Tekken: Street Fighter/Tekken Shared Assist Gem Pack 1,2012-07-24,['Action']
Street Fighter X Tekken: Street Fighter/Tekken Shared Assist Gem Pack 2,2012-07-24,['Action']
MDK2 HD,2012-07-30,['Action']
Shatter: Official Videogame Soundtrack,2012-07-30,"['Action', 'Indie']"
The Book of Unwritten Tales Digital Extras,2012-07-30,['Adventure']
Hearts of Iron III: US Infantry Sprite Pack,2012-07-31,['Strategy']
The Book of Unwritten Tales,2012-07-31,['Adventure']
Victoria II: A House Divided - American Civil War Spritepack,2012-07-31,['Strategy']
Street Fighter X Tekken: Street Fighter Swap Costume Complete Pack,2012-07-24,['Action']
A Virus Named TOM,2012-08-01,"['Action', 'Indie', 'Strategy']"
eXceed 2nd - Vampire REX,2012-08-02,['Action']
A Virus Named TOM Soundtrack,2012-08-01,"['Casual', 'Indie']"
eXceed 3rd - Jade Penetrate Black Package,2012-08-02,['Action']
Ticket to Ride - Legendary Asia,2012-08-02,"['Casual', 'Indie', 'Strategy']"
Death Rally,2012-08-03,"['Action', 'Racing']"
Train Simulator: CN SD40-2 Wide Nose Loco Add-On,2012-08-03,['Simulation']
Sleeping Dogs: The Red Envelope Pack,2012-08-21,['Action']
Train Simulator: SD70 V2 Volume 2 Loco Add-On,2012-08-03,['Simulation']
Killing Floor - Ash Harding Character Pack,2012-08-10,['Action']
Hero Academy,2012-08-10,"['Indie', 'Strategy']"
Train Simulator: DB ICE 3 EMU Add-On,2012-08-09,['Simulation']
Iron Brigade,2012-08-13,"['Action', 'Strategy']"
Sleeping Dogs: Top Dog Silver Pack,2012-08-13,['Action']
Sleeping Dogs: Retro Triad Pack,2012-08-13,['Action']
Sleeping Dogs - High Resolution Texture Pack,2012-08-13,['Action']
Galaxy on Fire 2™ Full HD,2012-08-21,"['Action', 'Indie', 'Simulation', 'Strategy']"
Counter-Strike: Global Offensive,2012-08-21,['Action']
Sleeping Dogs,nan,"['Action', 'Adventure']"
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,2005-02-08,['RPG']
Din's Curse,2010-03-31,"['Action', 'Indie', 'RPG']"
AVSEQ,2012-08-23,"['Indie', 'Casual']"
Train Simulator: Southern Pacific Cab Forward Loco Add-On,2012-08-23,['Simulation']
Train Simulator: PRR GE 44 Loco Add-On,2012-08-23,['Simulation']
Train Simulator: UP GE 44 Loco Add-On,2012-08-23,['Simulation']
Gotham City Impostors Free to Play: Premium Card Pack 3,2012-08-30,['Action']
Gotham City Impostors Free to Play: Killah Kitteh,2012-08-30,['Action']
Gotham City Impostors Free to Play: Steampunk Costume,2012-08-30,['Action']
Gotham City Impostors Free to Play: Stitches,2012-08-30,['Action']
Gotham City Impostors Free to Play: Ninja Costume,2012-08-30,['Action']
Closure,2012-09-07,['Indie']
Gotham City Impostors Free to Play: Harlette,2012-08-30,['Action']
Gotham City Impostors Free to Play: Support Item Pack - Professional,2012-08-30,['Action']
Gotham City Impostors Free to Play: Weapon Pack - Ultimate,2012-08-30,['Action']
Gotham City Impostors Free to Play: Support Item Pack - Starter,2012-08-30,['Action']
Gotham City Impostors Free to Play: Crocky,2012-08-30,['Action']
Gotham City Impostors Free to Play: Weapon Pack - Professional,2012-08-30,['Action']
Gotham City Impostors Free to Play: Premium Card Pack 6,2012-08-30,['Action']
Gotham City Impostors Free to Play: Costume Coin Boost - Solo,2012-08-30,['Action']
To the Moon Soundtrack,2012-09-07,['Indie']
Batman: Arkham City - Game of the Year Edition,2012-09-07,"['Action', 'Adventure']"
To the Moon,2011-11-01,"['Adventure', 'Indie', 'RPG']"
Intrusion 2,2012-09-11,"['Action', 'Indie']"
Gotham City Impostors Free to Play: Ultimate Impostor Kit,2012-08-30,['Action']
Critter Crunch,2012-09-11,"['Action', 'Indie', 'Casual']"
Hearts of Iron III: Sounds of Conflict,2012-09-12,['Strategy']
Arma 2: Army of the Czech Republic,2012-09-12,"['Action', 'Simulation']"
Jet Set Radio,2012-09-19,['Action']
Magic: The Gathering - Duels of the Planeswalkers 2013 Expansion,2012-09-19,['Strategy']
Awesomenauts - Expendable Clunk Skin,2012-09-19,"['Action', 'Indie', 'Strategy']"
Awesomenauts - Bumble Gnaw Skin,2012-09-19,"['Action', 'Indie', 'Strategy']"
Awesomenauts - Hotrod Derpl Skin,2012-09-19,"['Action', 'Indie', 'Strategy']"
Awesomenauts - Kosmonaut Yuri Skin,2012-09-19,"['Action', 'Indie', 'Strategy']"
Awesomenauts - Grandmaster Splash Skin,2012-09-19,"['Action', 'Indie', 'Strategy']"
Awesomenauts - Coco Hawaii Skin,2012-09-19,"['Action', 'Indie', 'Strategy']"
Might &amp; Magic: Heroes VI - Danse Macabre Adventure Pack,2012-09-27,"['RPG', 'Strategy']"
Resident Evil: Operation Raccoon City - Renegade Weapons Pack,2012-09-24,['Action']
Resident Evil: Operation Raccoon City - Classic Weapons Pack,2012-09-24,['Action']
Resident Evil: Operation Raccoon City - Elite Weapons Pack,2012-09-24,['Action']
Resident Evil: Operation Raccoon City - Echo Six Expansion Pack 1,2012-09-24,['Action']
Resident Evil: Operation Raccoon City - Weapon Stash,2012-09-24,['Action']
Resident Evil: Operation Raccoon City - Echo Six Expansion Pack 2,2012-09-24,['Action']
"Wargame: European Escalation - ""Commander"" (Free DLC)",2012-09-25,['Strategy']
The Testament of Sherlock Holmes,2012-09-25,['Adventure']
ETHER VAPOR Remaster,2012-09-27,['Action']
Carrier Command: Gaea Mission,2012-09-28,"['Action', 'Strategy']"
3D-Coat V4.8,2012-10-02,['Animation &amp; Modeling']
BIT.TRIP.CORE Soundtrack,2012-10-02,"['Action', 'Indie']"
Cortex Command,2012-09-28,"['Action', 'Indie', 'Strategy']"
Dogfight 1942 Russia Under Siege,2012-09-28,['Action']
BIT.TRIP CORE,2012-10-02,"['Action', 'Indie']"
Borderlands 2: Mechromancer Pack,2012-10-09,"['Action', 'RPG']"
"Duels 2013 ""Aura Servants"" Deck Key",2012-10-10,['Strategy']
"Duels 2013 ""Mindstorms"" Deck Key",2012-10-10,['Strategy']
"Duels 2013 ""Mindstorms"" Foil Conversion",2012-10-10,['Strategy']
"Duels 2013 ""Collective Might"" Foil Conversion",2012-10-10,['Strategy']
"Duels 2013 ""Aura Servants"" Foil Conversion",2012-10-10,['Strategy']
Rocksmith - Queen - Keep Yourself Alive,2012-10-16,"['Casual', 'Simulation']"
"Duels 2013 ""Collective Might"" Deck Key",2012-10-10,['Strategy']
"Duels 2013 ""Sepulchral Strength"" Deck Key",2012-10-10,['Strategy']
Rocketbirds: Hardboiled Chicken,2012-10-15,"['Adventure', 'Indie']"
Doom 3: BFG Edition,2012-10-15,['Action']
Borderlands 2 - Captain Scarlett and her Pirate's Booty,2012-10-16,"['Action', 'RPG']"
Sleeping Dogs - Street Racer Pack,2012-10-16,"['Action', 'Racing']"
Sleeping Dogs - Tactical Soldier Pack,2012-10-16,"['Action', 'Adventure']"
Dungeon Defenders Anniversary Pack,2012-10-16,"['Action', 'Strategy', 'RPG', 'Indie']"
Crusader Kings II: Songs of Byzantium,2012-10-16,['Strategy']
Rocksmith - My Chemical Romance - Planetary (GO!),2012-10-16,"['Casual', 'Simulation']"
Rocksmith - 3 Doors Down - 3-Song Pack,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - The Police - Synchronicity II,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - 3 Doors Down - Loser,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - 3 Doors Down - When I'm Gone,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - blink-182 - All The Small Things,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - blink-182 - Dammit,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - The Black Keys - Just Got To Be,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Pearl Jam - Black,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - The Police - Roxanne,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Queen - Stone Cold Crazy,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - The Allman Brothers Band - Jessica,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Marvin Gaye - What's Going On,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Albert King with Stevie Ray Vaughan - Born Under a Bad Sign,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - The Blues Brothers Band - Soul Man,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - The Black Keys 3-Song Pack,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Megadeth 3-Song Pack,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Queen 5-Song Pack,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - My Chemical Romance 3-Song Pack,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - The Allman Brothers Band - Whipping Post,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - My Chemical Romance - Na Na Na (Na Na Na Na Na),2012-10-16,"['Casual', 'Simulation']"
Rocksmith - The Temptations - My Girl,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Megadeth - Public Enemy No. 1,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Deep Purple - Smoke on the Water,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - Megadeth - Symphony of Destruction,2012-10-16,"['Casual', 'Simulation']"
Rocksmith™,2012-10-16,"['Casual', 'Simulation']"
Edna &amp; Harvey: Harvey's New Eyes,2012-10-16,"['Adventure', 'Indie']"
Unity of Command: Stalingrad Campaign,2012-10-17,"['Indie', 'Strategy']"
Primal Carnage,2012-10-29,"['Action', 'Indie']"
Rocksmith - The Knack - My Sharona,2012-10-16,"['Casual', 'Simulation']"
Rocksmith - 3 Doors Down - Kryptonite,2012-10-16,"['Casual', 'Simulation']"
Giana Sisters: Twisted Dreams,2012-10-22,"['Action', 'Indie']"
Tropico 4: Pirate Heaven DLC,2012-10-23,"['Simulation', 'Strategy']"
A Game of Dwarves,2012-10-23,"['Strategy', 'Casual']"
XCOM: Enemy Unknown - Elite Soldier Pack,2012-10-23,['Strategy']
Hotline Miami,2012-10-23,"['Action', 'Indie']"
ROSE Online,2012-10-23,"['Free to Play', 'Massively Multiplayer', 'RPG']"
Sleeping Dogs: The SWAT Pack,2012-10-23,"['Action', 'Adventure']"
Sleeping Dogs: Screen Legends Pack,2012-10-23,"['Action', 'Adventure']"
Krater - Character DLC Mayhem MK13,2012-10-23,"['Action', 'Adventure', 'Strategy', 'RPG', 'Indie']"
Guns of Icarus Online,2012-10-29,"['Action', 'Adventure', 'Indie', 'Simulation']"
Condemned: Criminal Origins,2006-04-11,['Action']
Beyond Divinity,2004-04-27,['RPG']
Magicka: Grimnir's Laboratory,2012-10-29,"['Action', 'RPG']"
Divinity II: Developer's Cut,2012-10-29,['RPG']
Rocksmith - Avenged Sevenfold - Beast and the Harlot,2012-10-30,"['Casual', 'Simulation']"
Rocksmith - Avenged Sevenfold - Afterlife,2012-10-30,"['Casual', 'Simulation']"
POSTAL 2,2003-04-13,"['Action', 'Adventure', 'Indie']"
Sleeping Dogs: Ghost Pig,2012-11-02,"['Action', 'Adventure']"
F1 RACE STARS™,2012-11-13,['Racing']
Chaos on Deponia,2012-11-06,"['Adventure', 'Indie']"
Gemini Wars,2012-11-02,"['Indie', 'Strategy']"
APB Reloaded Urban Survival Pack,2012-11-06,"['Action', 'Free to Play', 'Massively Multiplayer']"
Magic: The Gathering - 2013 Deck Pack 1,2012-11-07,['Strategy']
Worms Revolution - Mars Pack,2012-11-07,['Strategy']
Gratuitous Tank Battles - The Western Front,2012-11-09,"['Strategy', 'Indie', 'Simulation']"
Sine Mora,2012-11-09,"['Action', 'Indie']"
Fly'N,2012-11-09,"['Action', 'Adventure', 'Indie']"
Puddle,2012-11-09,"['Action', 'Indie', 'Simulation']"
Memento Mori,2012-11-09,['Adventure']
Clan of Champions - New Helmet Pack 1,2012-11-09,['Action']
Clan of Champions - Item Box +,2012-11-09,['Action']
Clan of Champions - New Armor Pack 1,2012-11-09,['Action']
Call of Duty®: Black Ops II,2012-11-12,['Action']
Sleeping Dogs: Deep Undercover Pack,2012-11-13,"['Action', 'Adventure']"
Sleeping Dogs - Triad Enforcer Pack,2012-11-13,"['Action', 'Adventure']"
F1 Race Stars - Music Accessory Pack,2012-11-13,['Racing']
Sleeping Dogs: Square Enix Character Pack,2012-11-13,"['Action', 'Adventure']"
F1 Race Stars - Science Accessory Pack,2012-11-13,['Racing']
F1 Race Stars - Princess Accessory Pack,2012-11-13,['Racing']
F1 Race Stars - Nature Accessory Pack,2012-11-13,['Racing']
F1 Race Stars - Monster Accessory Pack,2012-11-13,['Racing']
Jagged Alliance 2 - Wildfire,2004-03-08,"['RPG', 'Strategy']"
Hitman: Absolution: Bartoli Custom Gun,2012-11-19,['Action']
Hitman: Absolution: Agency HX UMP,2012-11-19,['Action']
Hitman: Absolution: Agency SPS 12,2012-11-19,['Action']
Hitman: Absolution: Deus Ex (Adam Jensen) Handgun,2012-11-19,['Action']
Hitman: Absolution: High Tech Disguise,2012-11-19,['Action']
Hitman: Absolution: Deus Ex (Adam Jensen) Disguise,2012-11-19,['Action']
The Sims 3: Supernatural,2012-11-20,['Simulation']
The Sims 3: Diesel Stuff,2012-11-20,['Simulation']
The Sims 3: Seasons,2012-11-20,['Simulation']
"Magic 2013 ""Act of War"" Deck Key",2012-11-21,['Strategy']
"Magic 2013 ""Sky and Scale"" Foil Conversion",2012-11-21,['Strategy']
"Magic 2013 ""Act of War"" Foil Conversion",2012-11-21,['Strategy']
"Magic 2013 ""Sky and Scale"" Deck Key",2012-11-21,['Strategy']
Worms Revolution: Medieval Tales DLC,2012-11-21,['Strategy']
Train Simulator: Union Pacific Big Boy Loco Add-On,2012-11-23,['Simulation']
Miasmata,2012-11-28,"['Action', 'Adventure', 'Indie']"
Stealth Bastard Deluxe - Soundtrack,2012-11-28,"['Action', 'Indie']"
Tomb Raider VI: The Angel of Darkness,2012-11-28,['Action']
Stealth Bastard Deluxe,2012-11-28,"['Action', 'Indie']"
GT Legends,2005-09-26,"['Racing', 'Simulation', 'Sports']"
Trainz Simulator DLC: PRR T1,2012-11-29,['Simulation']
The Book of Unwritten Tales: The Critter Chronicles,2012-12-05,"['Adventure', 'Indie']"
Primordia,2012-12-05,"['Adventure', 'Indie']"
A Game of Dwarves: Star Dwarves,2012-12-06,"['Strategy', 'Casual']"
A Game of Dwarves: Ale Pack,2012-12-06,"['Strategy', 'Casual']"
Mabinogi,2012-12-06,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Simulation']"
Triple Town,2012-12-06,"['Strategy', 'Indie', 'Casual']"
Legacy of Kain: Defiance,2003-12-17,"['Action', 'Adventure']"
Legacy of Kain: Soul Reaver,2012-12-06,"['Action', 'Adventure']"
Legacy of Kain: Soul Reaver 2,2001-11-20,"['Action', 'Adventure']"
Train Simulator: Union Pacific SD45 Loco Add-On,2012-12-06,['Simulation']
Iron Sky: Invasion,2012-12-13,"['Action', 'Simulation', 'Strategy']"
Assassin’s Creed® III – The Hidden Secrets Pack,2012-12-11,"['Action', 'Adventure']"
Port Royale 3: New Adventures DLC,2012-12-11,"['Action', 'Simulation', 'Strategy']"
Rocksmith - Nickelback - 3 Song Pack,2012-12-11,"['Casual', 'Simulation']"
A New Beginning - Final Cut,2012-12-11,"['Adventure', 'Indie']"
Rocksmith - Nickelback - How You Remind Me,2012-12-11,"['Casual', 'Simulation']"
NiGHTS Into Dreams,2012-12-17,['Adventure']
Train Simulator: Edinburgh-Glasgow Route Add-On,2011-03-25,['Simulation']
SpellForce 2 - Faith in Destiny Scenario 1: Flink's Secret Diary,2012-12-17,"['RPG', 'Strategy']"
Hearts of Iron III: British Vehicle Spritepack,2012-12-17,['Strategy']
Hearts of Iron III: Japanese Vehicle Spritepack,2012-12-17,['Strategy']
Rage: The Scorchers™,2012-12-18,['Action']
Tropico 4: Vigilante DLC,2012-12-18,"['Simulation', 'Strategy']"
Rocksmith - Foo Fighters - Wheels,2012-12-18,"['Casual', 'Simulation']"
Rocksmith - Foo Fighters - Times Likes These,2012-12-18,"['Casual', 'Simulation']"
Rocksmith - Foo Fighters - My Hero,2012-12-18,"['Casual', 'Simulation']"
Rocksmith - Foo Fighters - Walk,2012-12-18,"['Casual', 'Simulation']"
A Virus Named TOM: Winter Wonderland,2012-12-19,"['Action', 'Strategy', 'Indie']"
Sacred 2 Gold,2012-12-21,['RPG']
Train Simulator: Donner Pass: Southern Pacific Route Add-On,2012-12-21,['Simulation']
Splice: Epilogue Soundtrack,2012-12-31,"['Indie', 'Casual']"
Angelica Weaver: Catch Me When You Can,2013-01-07,"['Adventure', 'Casual']"
